timestamp,capture_ms,engagement_detection_ms,state_machine_ms,command_build_ms,total_loop_ms,state,engagement_status,engagement_confidence,engagement_reason
2026-06-17T22:31:12.724,4.024,56.266,0.028,0.04,61.217,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.801,4.773,61.805,0.029,0.042,67.256,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.890,13.499,60.121,0.025,0.034,74.275,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:12.972,5.316,66.205,0.05,0.059,72.219,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:13.046,5.448,54.47,0.026,0.034,60.437,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:13.109,3.626,53.666,0.026,0.035,57.912,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:13.189,11.34,51.863,0.035,0.051,64.01,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:13.267,5.83,59.301,0.115,0.05,66.025,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:13.356,3.489,72.489,0.044,0.052,76.695,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:13.437,3.807,67.025,0.051,0.061,71.797,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:13.522,3.603,64.228,0.069,0.079,68.602,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:13.611,4.783,66.266,0.03,0.041,71.639,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:13.695,3.961,64.663,0.026,0.036,69.46,seeking_attention,disengaged,0.574,face_left_or_right
2026-06-17T22:31:13.770,5.25,64.957,0.026,0.037,70.803,seeking_attention,disengaged,0.574,face_left_or_right
2026-06-17T22:31:13.866,4.054,70.885,0.039,0.054,75.728,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:13.959,3.448,75.401,0.058,0.062,79.577,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.039,3.238,62.84,0.064,0.087,66.751,seeking_attention,disengaged,0.574,face_left_or_right
2026-06-17T22:31:14.101,4.061,58.552,0.025,0.034,63.548,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.193,3.205,60.264,0.035,0.046,64.338,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.280,5.925,68.657,0.04,0.051,75.359,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.363,3.506,67.25,0.034,0.046,71.411,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:14.453,4.063,72.622,0.056,0.058,77.699,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:14.536,4.437,69.515,0.019,0.036,74.619,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.614,3.569,58.63,0.03,0.042,62.865,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.695,4.115,65.367,0.03,0.042,70.102,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.780,7.422,58.7,0.024,0.034,67.204,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.867,4.688,71.296,0.026,0.047,76.554,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:14.956,6.355,69.658,0.039,0.052,76.884,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.032,3.946,60.837,0.028,0.038,65.376,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.094,3.504,54.112,0.025,0.038,58.171,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.172,4.847,56.854,0.028,0.044,62.377,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.257,4.779,66.991,0.027,0.035,72.284,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:15.332,3.61,62.634,0.029,0.04,66.799,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.402,3.891,64.119,0.035,0.049,69.213,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:15.496,3.498,62.712,0.023,0.032,66.867,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:15.571,9.028,61.579,0.027,0.033,71.278,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.656,5.143,69.195,0.026,0.038,74.856,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.752,5.167,70.893,0.029,0.041,76.637,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:15.837,3.336,70.17,0.033,0.047,74.16,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:15.921,6.881,75.758,0.026,0.034,83.207,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.001,3.404,60.252,0.054,0.045,64.391,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.076,3.462,54.468,0.024,0.034,58.583,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:16.154,5.126,63.015,0.029,0.041,68.828,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:16.232,5.592,64.652,0.031,0.04,70.888,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:16.306,3.205,59.126,0.026,0.035,62.911,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:16.372,4.411,60.14,0.029,0.04,65.048,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.469,6.028,68.62,0.023,0.034,75.627,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.542,3.932,62.189,0.025,0.034,67.116,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.620,3.273,62.984,0.023,0.032,66.793,seeking_attention,disengaged,0.573,face_left_or_right
2026-06-17T22:31:16.690,3.59,55.041,0.023,0.032,59.301,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.768,16.88,52.535,0.026,0.035,70.366,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.848,5.329,56.934,0.024,0.034,62.859,seeking_attention,disengaged,0.572,face_left_or_right
2026-06-17T22:31:16.932,3.361,69.733,0.05,0.066,73.775,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.019,5.195,63.083,0.03,0.041,68.92,seeking_attention,disengaged,0.568,face_left_or_right
2026-06-17T22:31:17.081,4.691,45.587,0.031,0.042,51.378,seeking_attention,disengaged,0.569,face_left_or_right
2026-06-17T22:31:17.143,5.637,51.951,0.027,0.037,58.151,seeking_attention,disengaged,0.569,face_left_or_right
2026-06-17T22:31:17.209,3.393,56.552,0.027,0.038,60.508,seeking_attention,disengaged,0.571,face_left_or_right
2026-06-17T22:31:17.278,3.406,46.689,0.043,0.049,50.689,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.341,5.319,46.601,0.073,0.042,52.68,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.399,3.371,44.767,0.092,0.072,48.855,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.458,3.325,44.051,0.043,0.053,48.057,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.525,4.334,51.614,0.034,0.053,56.485,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.581,3.263,45.304,0.075,0.156,49.319,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.639,5.383,43.684,0.074,0.088,50.02,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.716,4.478,54.407,0.049,0.069,59.417,seeking_attention,absent,0.0,no_face_detected
2026-06-17T22:31:17.780,4.28,50.029,0.021,0.053,54.851,engaged,engaged,0.838,face_centered
2026-06-17T22:31:17.846,5.854,46.008,0.018,0.12,52.963,engaged,engaged,0.838,face_centered
2026-06-17T22:31:17.914,3.943,56.955,0.018,0.039,61.444,engaged,engaged,0.828,face_centered
2026-06-17T22:31:17.988,6.719,52.689,0.03,0.037,60.154,engaged,engaged,0.829,face_centered
2026-06-17T22:31:18.068,13.179,56.345,0.015,0.036,70.269,engaged,engaged,0.829,face_centered
2026-06-17T22:31:18.147,5.574,60.92,0.017,0.04,67.215,engaged,engaged,0.837,face_centered
2026-06-17T22:31:18.231,3.902,71.275,0.028,0.06,75.756,engaged,engaged,0.84,face_centered
2026-06-17T22:31:18.307,3.447,60.908,0.014,0.034,64.956,engaged,engaged,0.847,face_centered
2026-06-17T22:31:18.386,3.633,65.641,0.037,0.054,69.952,engaged,engaged,0.847,face_centered
2026-06-17T22:31:18.475,3.365,67.971,0.027,0.052,71.861,engaged,engaged,0.89,face_centered
2026-06-17T22:31:18.577,5.573,86.466,0.014,0.033,92.673,engaged,engaged,0.89,face_centered
2026-06-17T22:31:18.662,3.414,69.278,0.014,0.034,73.356,engaged,engaged,0.905,face_centered
2026-06-17T22:31:18.755,5.194,78.091,0.019,0.054,83.837,engaged,engaged,0.92,face_centered
2026-06-17T22:31:18.836,5.19,61.253,0.025,0.047,67.029,engaged,engaged,0.936,face_centered
2026-06-17T22:31:18.921,4.728,66.056,0.049,0.074,71.839,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:19.011,6.09,70.189,0.019,0.042,77.21,engaged,engaged,0.937,face_centered
2026-06-17T22:31:19.102,3.584,78.63,0.018,0.042,82.853,engaged,engaged,0.957,face_centered
2026-06-17T22:31:19.188,3.76,67.938,0.022,0.053,72.357,engaged,engaged,0.972,face_centered
2026-06-17T22:31:19.274,3.339,67.876,0.017,0.038,71.727,engaged,engaged,0.977,face_centered
2026-06-17T22:31:19.360,4.21,71.54,0.016,0.036,76.418,engaged,engaged,0.977,face_centered
2026-06-17T22:31:19.448,5.269,71.88,0.016,0.037,77.764,engaged,engaged,0.977,face_centered
2026-06-17T22:31:19.541,3.872,77.321,0.015,0.039,81.818,engaged,engaged,0.97,face_centered
2026-06-17T22:31:19.636,3.265,80.268,0.014,0.034,84.107,engaged,engaged,0.965,face_centered
2026-06-17T22:31:19.723,3.128,74.443,0.017,0.037,78.158,engaged,engaged,0.965,face_centered
2026-06-17T22:31:19.819,3.255,88.171,0.017,0.041,92.323,engaged,engaged,0.96,face_centered
2026-06-17T22:31:19.915,3.351,73.791,0.018,0.037,77.829,engaged,engaged,0.963,face_centered
2026-06-17T22:31:20.009,3.36,86.867,0.027,0.058,90.885,engaged,engaged,0.961,face_centered
2026-06-17T22:31:20.107,3.543,74.938,0.016,0.036,79.741,engaged,engaged,0.957,face_centered
2026-06-17T22:31:20.194,5.405,66.78,0.024,0.048,72.838,engaged,engaged,0.954,face_centered
2026-06-17T22:31:20.265,3.378,56.635,0.016,0.036,60.548,engaged,engaged,0.953,face_centered
2026-06-17T22:31:20.350,5.844,60.386,0.026,0.066,67.054,engaged,engaged,0.953,face_centered
2026-06-17T22:31:20.434,5.689,65.726,0.017,0.042,72.754,engaged,engaged,0.953,face_centered
2026-06-17T22:31:20.512,3.359,66.597,0.016,0.038,70.704,engaged,engaged,0.959,face_centered
2026-06-17T22:31:20.597,3.436,68.592,0.031,0.063,72.658,engaged,engaged,0.962,face_centered
2026-06-17T22:31:20.670,3.278,64.862,0.021,0.058,68.791,engaged,engaged,0.959,face_centered
2026-06-17T22:31:20.760,4.896,63.068,0.019,0.047,68.477,engaged,engaged,0.958,face_centered
2026-06-17T22:31:20.848,5.599,72.131,0.015,0.039,78.288,engaged,engaged,0.958,face_centered
2026-06-17T22:31:20.928,5.342,70.46,0.019,0.049,76.566,engaged,engaged,0.96,face_centered
2026-06-17T22:31:21.026,3.482,72.737,0.014,0.031,77.068,engaged,engaged,0.965,face_centered
2026-06-17T22:31:21.102,3.498,68.963,0.016,0.037,72.995,engaged,engaged,0.965,face_centered
2026-06-17T22:31:21.187,3.38,67.202,0.017,0.039,71.179,engaged,engaged,0.96,face_centered
2026-06-17T22:31:21.263,3.545,55.118,0.027,0.052,59.305,disengaged,disengaged,0.688,face_left_or_right+face_too_small
2026-06-17T22:31:21.350,5.379,71.853,0.034,0.078,77.989,disengaged,disengaged,0.688,face_left_or_right+face_too_small
2026-06-17T22:31:21.426,3.369,63.214,0.049,0.083,67.424,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:21.504,3.061,68.38,0.014,0.033,71.969,engaged,engaged,0.957,face_centered
2026-06-17T22:31:21.596,3.35,73.064,0.017,0.04,76.934,engaged,engaged,0.956,face_centered
2026-06-17T22:31:21.673,3.397,64.466,0.032,0.076,68.636,engaged,engaged,0.958,face_centered
2026-06-17T22:31:21.758,8.054,66.419,0.015,0.036,75.06,engaged,engaged,0.96,face_centered
2026-06-17T22:31:21.857,7.396,70.846,0.016,0.041,79.16,engaged,engaged,0.96,face_centered
2026-06-17T22:31:21.948,5.404,72.554,0.017,0.039,78.895,engaged,engaged,0.88,face_centered
2026-06-17T22:31:22.035,4.244,72.649,0.021,0.05,77.833,engaged,engaged,0.946,face_centered
2026-06-17T22:31:22.140,3.267,84.682,0.016,0.036,88.655,engaged,engaged,0.943,face_centered
2026-06-17T22:31:22.251,3.33,89.877,0.027,0.063,93.853,engaged,engaged,0.959,face_centered
2026-06-17T22:31:22.355,5.013,83.616,0.021,0.047,89.337,engaged,engaged,0.964,face_centered
2026-06-17T22:31:22.472,5.369,96.73,0.031,0.073,103.056,engaged,engaged,0.961,face_centered
2026-06-17T22:31:22.588,5.518,89.57,0.03,0.054,95.75,engaged,engaged,0.964,face_centered
2026-06-17T22:31:22.686,3.728,80.518,0.032,0.084,84.868,engaged,engaged,0.96,face_centered
2026-06-17T22:31:22.792,6.126,86.306,0.024,0.058,93.239,engaged,engaged,0.959,face_centered
2026-06-17T22:31:22.914,3.71,103.968,0.028,0.063,108.232,engaged,engaged,0.962,face_centered
2026-06-17T22:31:23.024,3.584,88.872,0.014,0.033,93.464,engaged,engaged,0.963,face_centered
2026-06-17T22:31:23.121,3.434,82.308,0.02,0.045,86.285,engaged,engaged,0.964,face_centered
2026-06-17T22:31:23.221,4.036,90.388,0.014,0.032,95.121,engaged,engaged,0.964,face_centered
2026-06-17T22:31:23.336,4.516,90.608,0.051,0.112,95.744,engaged,engaged,0.965,face_centered
2026-06-17T22:31:23.435,4.043,80.406,0.024,0.056,85.181,engaged,engaged,0.963,face_centered
2026-06-17T22:31:23.554,5.877,100.515,0.033,0.076,107.01,engaged,engaged,0.962,face_centered
2026-06-17T22:31:23.693,9.067,99.291,0.02,0.043,109.413,engaged,engaged,0.951,face_centered
2026-06-17T22:31:23.797,3.861,85.888,0.025,0.057,90.364,engaged,engaged,0.955,face_centered
2026-06-17T22:31:23.902,3.441,87.602,0.03,0.069,91.741,engaged,engaged,0.948,face_centered
2026-06-17T22:31:24.033,5.016,112.274,0.019,0.042,117.887,engaged,engaged,0.952,face_centered
2026-06-17T22:31:24.132,4.418,84.167,0.026,0.06,89.228,engaged,engaged,0.955,face_centered
2026-06-17T22:31:24.239,6.644,85.457,0.022,0.053,92.762,engaged,engaged,0.951,face_centered
2026-06-17T22:31:24.342,3.104,86.088,0.02,0.053,89.838,engaged,engaged,0.962,face_centered
2026-06-17T22:31:24.448,4.221,84.73,0.016,0.036,89.774,engaged,engaged,0.959,face_centered
2026-06-17T22:31:24.543,4.427,77.97,0.025,0.057,82.989,engaged,engaged,0.959,face_centered
2026-06-17T22:31:24.645,5.29,83.59,0.015,0.034,89.518,engaged,engaged,0.96,face_centered
2026-06-17T22:31:24.736,3.616,75.685,0.018,0.057,80.086,engaged,engaged,0.963,face_centered
2026-06-17T22:31:24.826,7.297,78.001,0.019,0.047,85.979,engaged,engaged,0.963,face_centered
2026-06-17T22:31:24.935,3.609,87.157,0.015,0.036,91.41,engaged,engaged,0.96,face_centered
2026-06-17T22:31:25.028,6.001,74.556,0.014,0.038,81.098,engaged,engaged,0.965,face_centered
2026-06-17T22:31:25.119,3.255,76.833,0.015,0.038,80.65,engaged,engaged,0.962,face_centered
2026-06-17T22:31:25.203,4.159,76.496,0.015,0.036,81.218,engaged,engaged,0.961,face_centered
2026-06-17T22:31:25.294,5.116,74.497,0.016,0.042,80.221,engaged,engaged,0.952,face_centered
2026-06-17T22:31:25.403,3.415,87.89,0.022,0.049,92.088,engaged,engaged,0.952,face_centered
2026-06-17T22:31:25.495,6.1,78.241,0.018,0.045,85.186,engaged,engaged,0.953,face_centered
2026-06-17T22:31:25.603,3.39,94.389,0.034,0.036,98.44,engaged,engaged,0.953,face_centered
2026-06-17T22:31:25.702,3.802,80.901,0.035,0.064,85.48,engaged,engaged,0.958,face_centered
2026-06-17T22:31:25.801,3.604,83.927,0.021,0.038,88.206,disengaged,disengaged,0.742,face_high_or_low+face_too_small
2026-06-17T22:31:25.907,3.18,94.583,0.019,0.035,98.467,disengaged,disengaged,0.738,face_high_or_low+face_too_small
2026-06-17T22:31:26.004,5.34,80.154,0.016,0.037,86.043,engaged,engaged,0.959,face_centered
2026-06-17T22:31:26.118,3.19,92.6,0.024,0.057,96.548,engaged,engaged,0.958,face_centered
2026-06-17T22:31:26.205,3.37,77.837,0.018,0.042,81.795,engaged,engaged,0.958,face_centered
2026-06-17T22:31:26.303,3.209,79.372,0.019,0.046,83.147,engaged,engaged,0.954,face_centered
2026-06-17T22:31:26.402,3.588,87.179,0.021,0.048,91.309,engaged,engaged,0.958,face_centered
2026-06-17T22:31:26.491,3.366,75.998,0.016,0.039,79.993,engaged,engaged,0.96,face_centered
2026-06-17T22:31:26.595,3.561,92.936,0.015,0.049,97.28,engaged,engaged,0.955,face_centered
2026-06-17T22:31:26.699,3.351,85.572,0.014,0.044,89.656,engaged,engaged,0.951,face_centered
2026-06-17T22:31:26.795,3.318,85.359,0.015,0.037,89.334,engaged,engaged,0.956,face_centered
2026-06-17T22:31:26.907,3.087,94.867,0.023,0.051,98.542,engaged,engaged,0.957,face_centered
2026-06-17T22:31:27.002,4.394,83.169,0.018,0.045,88.171,engaged,engaged,0.958,face_centered
2026-06-17T22:31:27.101,3.902,83.046,0.056,0.086,87.789,engaged,engaged,0.955,face_centered
2026-06-17T22:31:27.213,3.883,96.186,0.014,0.035,100.894,engaged,engaged,0.955,face_centered
2026-06-17T22:31:27.314,3.454,83.917,0.017,0.04,88.061,engaged,engaged,0.954,face_centered
2026-06-17T22:31:27.408,3.407,86.464,0.015,0.036,90.472,engaged,engaged,0.953,face_centered
2026-06-17T22:31:27.509,3.203,83.25,0.015,0.036,87.047,engaged,engaged,0.952,face_centered
2026-06-17T22:31:27.604,3.385,83.951,0.014,0.032,87.839,engaged,engaged,0.953,face_centered
2026-06-17T22:31:27.716,3.917,92.453,0.062,0.092,97.228,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:27.835,3.549,103.951,0.024,0.063,108.119,engaged,engaged,0.955,face_centered
2026-06-17T22:31:27.950,5.341,88.609,0.018,0.043,94.683,engaged,engaged,0.96,face_centered
2026-06-17T22:31:28.045,3.172,83.026,0.016,0.037,86.809,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.140,3.431,82.964,0.017,0.03,86.904,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.243,3.346,79.677,0.022,0.052,83.684,engaged,engaged,0.96,face_centered
2026-06-17T22:31:28.343,5.098,80.575,0.022,0.124,86.344,engaged,engaged,0.957,face_centered
2026-06-17T22:31:28.452,3.514,89.022,0.023,0.052,93.249,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.552,3.952,87.767,0.016,0.037,92.314,engaged,engaged,0.957,face_centered
2026-06-17T22:31:28.671,3.034,105.674,0.014,0.033,109.437,engaged,engaged,0.958,face_centered
2026-06-17T22:31:28.772,5.109,93.494,0.015,0.035,99.556,engaged,engaged,0.958,face_centered
2026-06-17T22:31:28.898,3.311,104.365,0.015,0.035,108.368,engaged,engaged,0.956,face_centered
2026-06-17T22:31:29.004,3.571,88.274,0.024,0.051,92.544,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.111,5.344,94.468,0.02,0.046,100.817,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.221,3.438,92.145,0.015,0.034,96.162,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.319,4.724,86.232,0.019,0.042,91.784,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.417,5.017,79.872,0.018,0.045,85.701,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.522,3.22,82.113,0.023,0.047,85.972,engaged,engaged,0.958,face_centered
2026-06-17T22:31:29.631,6.14,91.168,0.036,0.132,98.226,engaged,engaged,0.958,face_centered
2026-06-17T22:31:29.742,3.879,89.953,0.016,0.049,94.604,engaged,engaged,0.957,face_centered
2026-06-17T22:31:29.850,3.34,91.61,0.015,0.036,95.513,engaged,engaged,0.937,face_centered
2026-06-17T22:31:29.960,3.205,95.174,0.026,0.048,99.186,engaged,engaged,0.912,face_centered
2026-06-17T22:31:30.073,3.553,99.546,0.015,0.036,103.59,engaged,engaged,0.807,face_centered
2026-06-17T22:31:30.192,3.857,96.341,0.024,0.045,100.814,engaged,engaged,0.925,face_centered
2026-06-17T22:31:30.302,3.176,100.379,0.016,0.041,104.281,engaged,engaged,0.923,face_centered
2026-06-17T22:31:30.418,3.373,97.792,0.052,0.088,101.942,disengaged,absent,0.0,no_face_detected
2026-06-17T22:31:30.527,3.771,82.71,0.051,0.097,87.535,disengaged,absent,0.0,no_face_detected
